2015-05-07 00:00:00,WEST,slot_a,F9,F8,H8,slot_p,H8,G8,F6
2015-05-07 00:00:00,EAST,slot_a,C20,D20,G33,slot_p,C20,G33,E28
2015-04-30 00:00:00,WEST,slot_a,F9,F8,H8,slot_p,H8,G8,J14
2015-04-30 00:00:00,EAST,slot_a,C20,G33,D20,slot_p,C20,D20,G33
2015-04-23 00:00:00,EAST,slot_a,C20,G33,D20,slot_p,C20,D20,G33
2015-04-23 00:00:00,WEST,slot_a,D1,F9,H8,slot_p,H8,F9,D1
2015-04-16 00:00:00,EAST,slot_a,C20,G33,D20,slot_p,C20,D20,G33
2015-04-16 00:00:00,WEST,slot_a,D1,F9,C1,slot_p,D1,F9,B18
2015-04-09 00:00:00,EAST,slot_a,C20,D20,C19,slot_p,C20,D20,C19
2015-04-09 00:00:00,WEST,slot_a,D1,F8,F9,slot_p,D1,F9,F8
2015-04-02 00:00:00,EAST,slot_a,C20,C30,C31,slot_p,C20,A29,B30
2015-04-02 00:00:00,WEST,slot_a,D1,D2,null,slot_p,D1,D2,null
2015-03-26 00:00:00,WEST,slot_a,D1,null,null,slot_p,D1,null,null
2015-03-26 00:00:00,EAST,slot_a,C20,D20,C31,slot_p,D31,D30,E31
2015-03-19 00:00:00,EAST,slot_a,C20,D20,D19,slot_p,G33,B18,C20
2015-03-19 00:00:00,WEST,slot_a,D1,null,null,slot_p,D1,null,null
2015-03-12 00:00:00,EAST,slot_a,C20,D20,C19,slot_p,C19,D20,C20
2015-03-12 00:00:00,WEST,slot_a,D1,C1,null,slot_p,D1,C1,null
2015-03-05 00:00:00,EAST,slot_a,D20,C20,null,slot_p,C20,D20,null
