15-05-18 18:00:00,0x91b17_15-05-15 9:xx - 19-05-15 19:13,25.138,0x8f28c_15-05-15 17:xx - 18-05-15 18:33,16.026,0xdb152_18-05-15 6:xx - 19-05-15 0:59,2.672,0x23046_18-05-15 10:xx - 19-05-15 9:38,1.694,0xf61f4_18-05-15 16:xx - 19-05-15 3:12,0.301
15-05-18 17:00:00,0x91b17_15-05-15 9:xx - 19-05-15 19:13,24.788,0x8f28c_15-05-15 17:xx - 18-05-15 18:33,16.216,0xdb152_18-05-15 6:xx - 19-05-15 0:59,2.455,0x23046_18-05-15 10:xx - 19-05-15 9:38,1.492,0x023db_18-05-15 12:xx - 19-05-15 5:50,1.341
15-05-18 16:00:00,0x91b17_15-05-15 9:xx - 19-05-15 19:13,24.450,0x8f28c_15-05-15 17:xx - 18-05-15 18:33,16.314,0xce279_18-05-15 9:xx - 18-05-15 16:56,2.566,0xdb152_18-05-15 6:xx - 19-05-15 0:59,2.236,0xdf42e_18-05-15 10:xx - 18-05-15 16:57,1.567
15-05-18 15:00:00,0x8f28c_15-05-15 17:xx - 18-05-15 18:33,16.375,0xce279_18-05-15 9:xx - 18-05-15 16:56,2.146,0xdb152_18-05-15 6:xx - 19-05-15 0:59,2.030,0xdf42e_18-05-15 10:xx - 18-05-15 16:57,1.210,0x23046_18-05-15 10:xx - 19-05-15 9:38,1.031
15-05-18 14:00:00,0x8f28c_15-05-15 17:xx - 18-05-15 18:33,16.416,0xcc9ce_17-05-15 20:xx - 18-05-15 14:13,7.418,0xdb152_18-05-15 6:xx - 19-05-15 0:59,1.844,0xce279_18-05-15 9:xx - 18-05-15 16:56,1.718,0xdf42e_18-05-15 10:xx - 18-05-15 16:57,0.869
15-05-18 13:00:00,0x91b17_15-05-15 9:xx - 19-05-15 19:13,23.392,0x8f28c_15-05-15 17:xx - 18-05-15 18:33,16.409,0x1a438_16-05-15 10:xx - 18-05-15 13:57,8.374,0xcc9ce_17-05-15 20:xx - 18-05-15 14:13,6.936,0xdb152_18-05-15 6:xx - 19-05-15 0:59,1.644
15-05-18 12:00:00,0x91b17_15-05-15 9:xx - 19-05-15 19:13,23.102,0x8f28c_15-05-15 17:xx - 18-05-15 18:33,16.402,0x1a438_16-05-15 10:xx - 18-05-15 13:57,8.220,0xcc9ce_17-05-15 20:xx - 18-05-15 14:13,6.530,0xf35bd_18-05-15 5:xx - 18-05-15 12:56,2.781
15-05-18 11:00:00,0x91b17_15-05-15 9:xx - 19-05-15 19:13,22.780,0x8f28c_15-05-15 17:xx - 18-05-15 18:33,16.271,0x1a438_16-05-15 10:xx - 18-05-15 13:57,8.050,0xcc9ce_17-05-15 20:xx - 18-05-15 14:13,6.011,0xf35bd_18-05-15 5:xx - 18-05-15 12:56,2.350
15-05-18 10:00:00,0x8f28c_15-05-15 17:xx - 18-05-15 18:33,16.005,0x1a438_16-05-15 10:xx - 18-05-15 13:57,7.883,0xcc9ce_17-05-15 20:xx - 18-05-15 14:13,5.551,0xf35bd_18-05-15 5:xx - 18-05-15 12:56,1.921,0xea326_18-05-15 4:xx - 18-05-15 12:01,1.226
15-05-18 09:00:00,0x8f28c_15-05-15 17:xx - 18-05-15 18:33,15.766,0x1a438_16-05-15 10:xx - 18-05-15 13:57,7.713,0xcc9ce_17-05-15 20:xx - 18-05-15 14:13,5.091,0x9fdfd_17-05-15 17:xx - 18-05-15 9:48,3.414,0xce279_17-05-15 21:xx - 18-05-15 9:46,1.818
15-05-18 08:00:00,0x8f28c_15-05-15 17:xx - 18-05-15 18:33,15.469,0x1a438_16-05-15 10:xx - 18-05-15 13:57,7.529,0xcc9ce_17-05-15 20:xx - 18-05-15 14:13,4.627,0x9fdfd_17-05-15 17:xx - 18-05-15 9:48,3.425,0xf35bd_18-05-15 5:xx - 18-05-15 12:56,1.051
15-05-18 07:00:00,0x91b17_15-05-15 9:xx - 19-05-15 19:13,21.371,0x8f28c_15-05-15 17:xx - 18-05-15 18:33,15.185,0x1a438_16-05-15 10:xx - 18-05-15 13:57,7.406,0xcc9ce_17-05-15 20:xx - 18-05-15 14:13,4.159,0x9fdfd_17-05-15 17:xx - 18-05-15 9:48,3.191
15-05-18 06:00:00,0x91b17_15-05-15 9:xx - 19-05-15 19:13,21.198,0x8f28c_15-05-15 17:xx - 18-05-15 18:33,14.883,0x32138_16-05-15 21:xx - 18-05-15 6:29,10.141,0x1a438_16-05-15 10:xx - 18-05-15 13:57,7.191,0xcc9ce_17-05-15 20:xx - 18-05-15 14:13,3.683
